Metodo,Q_Estimado,Metrica,Score
Grid Search,3.000000000000001,t-stat,1.6823723097892613
Extensividade,1.1907407407407409,R2_medio,0.9411466870184125
q-Gaussian Fit,1.5144965176892522,RMSE_medio,0.03817365439252994
