Grupo,total_amostras,q_Extensividade_media,q_Extensividade_std,q_Gaussian_Fit_media,q_Gaussian_Fit_std
HC,41,1.065854,0.844278,1.525915,0.508761
PD,40,1.05875,0.999929,1.716165,0.647282
